ds,y
11/9/2017,302.9899902
11/10/2017,302.9899902
11/13/2017,315.3999939
11/14/2017,308.7000122
11/15/2017,311.2999878
11/16/2017,312.5
11/17/2017,315.0499878
11/20/2017,308.7399902
11/21/2017,317.8099976
11/22/2017,312.6000061
11/24/2017,315.5499878
11/27/2017,316.8099976
11/28/2017,317.5499878
11/29/2017,307.5400085
11/30/2017,308.8500061
12/1/2017,306.5299988
12/4/2017,305.2000122
12/5/2017,303.7000122
12/6/2017,313.2600098
12/7/2017,311.2399902
12/8/2017,315.1300049
12/11/2017,328.9100037
12/12/2017,341.0299988
12/13/2017,339.0299988
12/14/2017,337.8900146
12/15/2017,343.4500122
12/18/2017,338.8699951
12/19/2017,331.1000061
12/20/2017,328.980011
12/21/2017,331.6600037
12/22/2017,325.2000122
12/26/2017,317.2900085
12/27/2017,311.6400146
12/28/2017,315.3599854
12/29/2017,311.3500061
1/2/2018,320.5299988
1/3/2018,317.25
1/4/2018,314.6199951
1/5/2018,316.5799866
1/8/2018,336.4100037
1/9/2018,333.6900024
1/10/2018,334.7999878
1/11/2018,337.9500122
1/12/2018,336.2200012
1/16/2018,340.0599976
1/17/2018,347.1600037
1/18/2018,344.5700073
1/19/2018,350.019989
1/22/2018,351.5599976
1/23/2018,352.7900085
1/24/2018,345.8900146
1/25/2018,337.6400146
1/26/2018,342.8500061
1/29/2018,349.5299988
1/30/2018,345.8200073
1/31/2018,354.3099976
2/1/2018,349.25
2/2/2018,343.75
2/5/2018,333.1300049
2/6/2018,333.9700012
2/7/2018,345
2/8/2018,315.230011
2/9/2018,310.4200134
2/12/2018,315.730011
2/13/2018,323.6600037
2/14/2018,322.3099976
2/15/2018,334.0700073
2/16/2018,335.4899902
2/20/2018,334.769989
2/21/2018,333.2999878
2/22/2018,346.1700134
2/23/2018,352.0499878
2/26/2018,357.4200134
2/27/2018,350.9899902
2/28/2018,343.0599976
3/1/2018,330.9299927
3/2/2018,335.1199951
3/5/2018,333.3500061
3/6/2018,328.2000122
3/7/2018,332.2999878
3/8/2018,329.1000061
3/9/2018,327.1700134
3/12/2018,345.5100098
3/13/2018,341.8399963
3/14/2018,326.6300049
3/15/2018,325.6000061
3/16/2018,321.3500061
3/19/2018,313.5599976
3/20/2018,310.5499878
3/21/2018,316.5299988
3/22/2018,309.1000061
3/23/2018,301.5400085
3/26/2018,304.1799927
3/27/2018,279.1799927
3/28/2018,257.7799988
3/29/2018,266.1300049
4/2/2018,252.4799957
4/3/2018,267.5299988
4/4/2018,286.9400024
4/5/2018,305.7200012
4/6/2018,299.2999878
4/9/2018,289.6600037
4/10/2018,304.7000122
4/11/2018,300.9299927
4/12/2018,294.0799866
4/13/2018,300.3399963
4/16/2018,291.2099915
4/17/2018,287.6900024
4/18/2018,293.3500061
4/19/2018,300.0799866
4/20/2018,290.2399902
4/23/2018,283.3699951
4/24/2018,283.4599915
4/25/2018,280.6900024
4/26/2018,285.480011
4/27/2018,294.0799866
4/30/2018,293.8999939
5/1/2018,299.9200134
5/2/2018,301.1499939
5/3/2018,284.4500122
5/4/2018,294.0899963
5/7/2018,302.769989
5/8/2018,301.9700012
5/9/2018,306.8500061
5/10/2018,305.019989
5/11/2018,301.0599976
5/14/2018,291.9700012
5/15/2018,284.1799927
5/16/2018,286.480011
5/17/2018,284.5400085
5/18/2018,276.8200073
5/21/2018,284.4899902
5/22/2018,275.0100098
5/23/2018,279.0700073
5/24/2018,277.8500061
5/25/2018,278.8500061
5/29/2018,283.7600098
5/30/2018,291.7200012
5/31/2018,284.730011
6/1/2018,291.8200073
6/4/2018,296.7399902
6/5/2018,291.1300049
6/6/2018,319.5
6/7/2018,316.0899963
6/8/2018,317.6600037
6/11/2018,332.1000061
6/12/2018,342.769989
6/13/2018,344.7799988
6/14/2018,357.7200012
6/15/2018,358.1700134
6/18/2018,370.8299866
6/19/2018,352.5499878
6/20/2018,362.2200012
6/21/2018,347.5100098
6/22/2018,333.6300049
6/25/2018,333.0100098
6/26/2018,342
6/27/2018,344.5
6/28/2018,349.9299927
6/29/2018,342.9500122
7/2/2018,335.0700073
7/3/2018,310.8599854
7/5/2018,309.1600037
7/6/2018,308.8999939
7/9/2018,318.5100098
7/10/2018,322.4700012
7/11/2018,318.9599915
7/12/2018,316.7099915
7/13/2018,318.8699951
7/16/2018,310.1000061
7/17/2018,322.6900024
7/18/2018,323.8500061
7/19/2018,320.230011
7/20/2018,313.5799866
7/23/2018,303.2000122
7/24/2018,297.4299927
7/25/2018,308.7399902
7/26/2018,306.6499939
7/27/2018,297.1799927
7/30/2018,290.1700134
7/31/2018,298.1400146
8/1/2018,300.8399963
8/2/2018,349.5400085
8/3/2018,348.1700134
8/6/2018,341.9899902
8/7/2018,379.5700073
8/8/2018,370.3399963
8/9/2018,352.4500122
8/10/2018,355.4899902
8/13/2018,356.4100037
8/14/2018,347.6400146
8/15/2018,338.6900024
8/16/2018,335.4500122
8/17/2018,305.5
8/20/2018,308.4400024
8/21/2018,321.8999939
8/22/2018,321.6400146
8/23/2018,320.1000061
8/24/2018,322.8200073
8/27/2018,319.269989
8/28/2018,311.8599854
8/29/2018,305.0100098
8/30/2018,303.1499939
8/31/2018,301.6600037
9/4/2018,288.9500122
9/5/2018,280.7399902
9/6/2018,280.9500122
9/7/2018,263.2399902
9/10/2018,285.5
9/11/2018,279.4400024
9/12/2018,290.5400085
9/13/2018,289.4599915
9/14/2018,295.2000122
9/17/2018,294.8399963
9/18/2018,284.9599915
9/19/2018,299.019989
9/20/2018,298.3299866
9/21/2018,299.1000061
9/24/2018,299.6799927
9/25/2018,300.9899902
9/26/2018,309.5799866
9/27/2018,307.519989
9/28/2018,264.769989
10/1/2018,310.7000122
10/2/2018,301.019989
10/3/2018,294.7999878
10/4/2018,281.8299866
10/5/2018,261.9500122
10/8/2018,250.5599976
10/9/2018,262.7999878
10/10/2018,256.8800049
10/11/2018,252.2299957
10/12/2018,258.7799988
10/15/2018,259.5899963
10/16/2018,276.5899963
10/17/2018,271.7799988
10/18/2018,263.9100037
10/19/2018,260
10/22/2018,260.9500122
10/23/2018,294.1400146
10/24/2018,288.5
10/25/2018,314.8599854
10/26/2018,330.8999939
10/29/2018,334.8500061
10/30/2018,329.8999939
10/31/2018,337.3200073
11/1/2018,344.2799988
11/2/2018,346.4100037
11/5/2018,341.3999939
11/6/2018,341.0599976
11/7/2018,348.1600037
11/8/2018,351.3999939
11/9/2018,350.5100098
11/12/2018,331.2799988
11/13/2018,338.730011
11/14/2018,344
11/15/2018,348.4400024
11/16/2018,354.3099976
11/19/2018,353.4700012
11/20/2018,347.4899902
11/21/2018,338.1900024
11/23/2018,325.8299866
11/26/2018,346
11/27/2018,343.9200134
